Category,Symptom
Dermatologic Symptoms,Peritoneal lesion
Uncategorized,Head and neck cancer metastatic
Uncategorized,Victim of crime
Uncategorized,Oedema due to hepatic disease
Uncategorized,Tongue neoplasm malignant stage unspecified
Uncategorized,Condom
Uncategorized,Endovenous ablation
ENT Symptoms,Sigmoid sinus thrombosis
Uncategorized,Prescribed underdose
Uncategorized,Pyloric stenosis
Uncategorized,Breast necrosis
Uncategorized,Hyperplasia adrenal
Laboratory Findings,Nicotine test
Uncategorized,Noninfective chorioretinitis
Uncategorized,Retinoschisis
Uncategorized,Precocious puberty
Uncategorized,Congenital cyst
Neurological Symptoms,Trigeminal neuropathy
Dermatologic Symptoms,Brachioradial pruritus
Musculoskeletal Symptoms,Joint impingement
Dermatologic Symptoms,Skin graft infection
Genitourinary Symptoms,Transitional cell carcinoma urethra
Uncategorized,Duodenal ulcer perforation
Uncategorized,Sternal injury
Uncategorized,Intestinal ulcer
Uncategorized,Iliac artery disease
Uncategorized,Vascular access placement
Uncategorized,Subdiaphragmatic abscess
Uncategorized,Choroid melanoma
Uncategorized,Hodgkin's disease mixed cellularity stage unspecified
Dermatologic Symptoms,Skin dystrophy
Laboratory Findings,Mitochondrial enzyme deficiency
Laboratory Findings,Neuropsychological test abnormal
Uncategorized,Spinal meningeal cyst
Allergic and Immune Reactions,Encapsulation reaction
Uncategorized,Ozone therapy
Dermatologic Symptoms,Injection site phlebitis
Uncategorized,Cupping therapy
Uncategorized,Saliva analysis normal
Genitourinary Symptoms,Scleroderma renal crisis
Musculoskeletal Symptoms,Bone abscess
Dermatologic Symptoms,Non-scarring alopecia
Uncategorized,Peritoneal fluid analysis
Laboratory Findings,Cryptococcus test positive
Uncategorized,Xanthomatosis
Uncategorized,Gastrointestinal anastomotic stenosis
Uncategorized,Endocardial disease
Uncategorized,Application site nerve damage
Musculoskeletal Symptoms,Bone graft removal
Uncategorized,Osteotomy
Uncategorized,Tri-iodothyronine uptake decreased
Uncategorized,Medulloblastoma
Gastrointestinal Symptoms,Abdominal bruit
Uncategorized,Phototherapy
Uncategorized,Hanging
Uncategorized,Retinal fibrosis
Infectious Symptoms,Cestode infection
Infectious Symptoms,Infection protozoal
Uncategorized,Nematodiasis
Infectious Symptoms,Trematode infection
Uncategorized,Nosophobia
Uncategorized,Computerised tomogram venography head
Uncategorized,Substance dependence
Uncategorized,Rectal obstruction
Uncategorized,Myotonic dystrophy
General Symptoms,Ureteroscopy abnormal
Uncategorized,Periorbital fat herniation
Neurological Symptoms,Orthostatic tremor
Uncategorized,Lung induration
Uncategorized,Segmental diverticular colitis
Musculoskeletal Symptoms,Bone operation
Uncategorized,Thymoma
Infectious Symptoms,Herpes zoster disseminated
Dermatologic Symptoms,Skin cyst excision
Uncategorized,Peritoneal dialysis complication
Uncategorized,Gastrointestinal erosion
Dermatologic Symptoms,Skin ulcer excision
Uncategorized,Vulval haemorrhage
Cardiovascular Findings,Benign cardiac neoplasm
Uncategorized,Rhabdomyoma
Uncategorized,Bloch-Sulzberger syndrome
Laboratory Findings,Dengue virus test positive
Laboratory Findings,Shigella test positive
Uncategorized,Adhesive tape use
Uncategorized,Oligodendroglioma
Psychiatric Symptoms,Sleep attacks
Uncategorized,Corneal thinning
Uncategorized,Arteriovenous graft thrombosis
Uncategorized,Diabetic gangrene
Uncategorized,Vertebral column mass
Genitourinary Symptoms,Renal cortical necrosis
Uncategorized,Pelvic organ prolapse
Uncategorized,Pancreatic stent placement
Uncategorized,Coxsackie myocarditis
Uncategorized,Ewing's sarcoma metastatic
Uncategorized,Arthrodesis
Uncategorized,Iliac artery rupture
Musculoskeletal Symptoms,Closed fracture manipulation
Uncategorized,Selective IgA immunodeficiency
Procedural and Device-Related Issues,Nail operation
Uncategorized,Hip disarticulation
Infectious Symptoms,Citrobacter sepsis
Uncategorized,Hypoproteinaemia
Uncategorized,Large cell lung cancer
Uncategorized,Thalassaemia alpha
Uncategorized,Amegakaryocytic thrombocytopenia
Uncategorized,Pancreatic abscess
Allergic and Immune Reactions,Warm autoimmune haemolytic anaemia
Uncategorized,Ovarian cancer stage IV
Uncategorized,Synovial biopsy
Procedural and Device-Related Issues,Device therapy
Uncategorized,Thiopurine methyltransferase
Uncategorized,Biopsy peripheral nerve normal
Laboratory Findings,Ehrlichia test positive
Laboratory Findings,Urine cytology normal
Uncategorized,Vascular resistance systemic decreased
Uncategorized,Hyperthermic chemotherapy
Uncategorized,Endocarditis histoplasma
Allergic and Immune Reactions,Autoimmune pericarditis
Laboratory Findings,Volume blood
Uncategorized,Factor X deficiency
Uncategorized,Colorectal adenoma
Uncategorized,Short interpregnancy interval
Laboratory Findings,Blood cholinesterase increased
Uncategorized,Sclerotherapy
Uncategorized,Ovarian granulosa cell tumour
Procedural and Device-Related Issues,Orthodontic procedure
Infectious Symptoms,Legionella infection
Uncategorized,Delayed umbilical cord clamping
Psychiatric Symptoms,Depression rating scale score
Uncategorized,Glomerulonephropathy
Uncategorized,Bile output decreased
Uncategorized,Anti-zinc transporter 8 antibody
Dermatologic Symptoms,Urticaria vibratory
Uncategorized,Administration site calcification
Uncategorized,Pelvic neoplasm
Uncategorized,Vascular shunt
Uncategorized,Cushing's syndrome
Cardiovascular Findings,Cardiac ventricular scarring
General Symptoms,Prostatic specific antigen abnormal
Uncategorized,Angiolipoma
Laboratory Findings,Urine electrophoresis normal
Genitourinary Symptoms,Scrotal gangrene
Laboratory Findings,Head impulse test
Uncategorized,Posturography
Infectious Symptoms,Chronic hepatitis
Genitourinary Symptoms,Scrotal haematoma
Genitourinary Symptoms,Scrotal haemorrhage
Uncategorized,Aortogram normal
Uncategorized,Oesophageal ulcer haemorrhage
Uncategorized,Brain stem glioma
Dermatologic Symptoms,Chemical peel of skin
Uncategorized,Product closure issue
Laboratory Findings,BK polyomavirus test
Uncategorized,Chronic graft versus host disease
Uncategorized,Suture related complication
Laboratory Findings,Otoacoustic emissions test abnormal
Uncategorized,Naprapathy
Uncategorized,Hepatic cancer stage IV
Procedural and Device-Related Issues,Routine immunisation schedule not administered
ENT Symptoms,Nasal irrigation
Uncategorized,Superficial inflammatory dermatosis
Uncategorized,Invasive papillary breast carcinoma
Uncategorized,Rib excision
Uncategorized,Optic nerve cup/disc ratio
Uncategorized,Mediastinal biopsy
Uncategorized,Duodenal stenosis
Cardiovascular Findings,Implantable cardiac monitor removal
Uncategorized,Oculomucocutaneous syndrome
Laboratory Findings,Blood homocysteine abnormal
Uncategorized,Lip neoplasm malignant stage unspecified
Uncategorized,Loopogram
Uncategorized,Retinal white dots syndrome
Uncategorized,Lung neoplasm
Uncategorized,Lung diffusion disorder
Uncategorized,Ovarian calcification
Ophthalmologic Symptoms,Visual evoked potentials
Uncategorized,Progesterone receptor assay
Uncategorized,Choroiditis
Uncategorized,Drug-genetic interaction
General Symptoms,Biopsy larynx abnormal
Uncategorized,Epiglottic cancer
Uncategorized,Precerebral artery thrombosis
Uncategorized,Congenital foot malformation
ENT Symptoms,Fungal pharyngitis
Infectious Symptoms,Hepatitis toxic
Infectious Symptoms,Breakthrough COVID-19
Infectious Symptoms,Capnocytophaga infection
ENT Symptoms,Functional endoscopic sinus surgery
Uncategorized,Spinal segmental dysfunction
Respiratory Symptoms,Pneumonia influenzal
Laboratory Findings,Otoacoustic emissions test
Uncategorized,Benign familial pemphigus
Neurological Symptoms,VIth nerve paresis
Uncategorized,Optic nerve cup/disc ratio increased
Uncategorized,Thymoma benign
Uncategorized,HTLV-1 carrier
Uncategorized,Puncture site oedema
Cardiovascular Findings,Cardiac myxoma
Uncategorized,Biloma
General Symptoms,Abnormal labour
Uncategorized,Exposure via ingestion
Genitourinary Symptoms,Testicular scan abnormal
Uncategorized,Spleen contusion
Laboratory Findings,Coombs indirect test
Uncategorized,VEXAS syndrome
Laboratory Findings,White blood cell analysis
Uncategorized,Hypocholesterolaemia
General Symptoms,Topography corneal abnormal
Laboratory Findings,Urine calcium increased
Uncategorized,Subacute sclerosing panencephalitis
Uncategorized,Infectious thyroiditis
Uncategorized,Uterine scar
Uncategorized,Post procedural fistula
Uncategorized,Retinal laser coagulation
General Symptoms,Anal examination abnormal
Uncategorized,Fibrinolysis increased
Uncategorized,Necrosis of artery
Uncategorized,Hepatic vascular disorder
Uncategorized,Follicular disorder
Musculoskeletal Symptoms,Bone metabolism disorder
Dermatologic Symptoms,Toxic skin eruption
Laboratory Findings,Compartment pressure test
Laboratory Findings,Porphyrins urine
Uncategorized,Interspinous osteoarthritis
Infectious Symptoms,Catheter culture
Uncategorized,Catheter site discharge
Laboratory Findings,Olfactory test abnormal
Uncategorized,Coagulation factor VIII level decreased
Uncategorized,Brachiocephalic vein occlusion
Laboratory Findings,"Blood 1,25-dihydroxycholecalciferol increased"
Uncategorized,Endometrial cancer stage II
Uncategorized,Prosthesis user
Infectious Symptoms,Febrile infection
Musculoskeletal Symptoms,Limb reconstructive surgery
Uncategorized,Internal hernia
Gastrointestinal Symptoms,Abdominal panniculectomy
Uncategorized,Gastrointestinal stoma output increased
Uncategorized,Naevoid melanoma
Uncategorized,Thyroid nodule removal
Infectious Symptoms,Plasmodium vivax infection
Procedural and Device-Related Issues,Durotomy procedure
Musculoskeletal Symptoms,Internal fixation of spine
Uncategorized,Mixed deafness
Uncategorized,Tendon sheath disorder
Uncategorized,Keratoderma blenorrhagica
Laboratory Findings,Acinetobacter test
Laboratory Findings,Coombs indirect test negative
Infectious Symptoms,Fungal foot infection
Uncategorized,Developmental hip dysplasia
Uncategorized,Otosclerosis
Uncategorized,Desmoplastic small round cell tumour
Uncategorized,Germ cell neoplasm
Uncategorized,Metastases to testicle
Uncategorized,Drug tolerance increased
Uncategorized,Administration site acne
Infectious Symptoms,Opportunistic infection
Infectious Symptoms,Aeromonas infection
Uncategorized,Glycosuria
Uncategorized,Biopsy vulva normal
Procedural and Device-Related Issues,Transsphenoidal surgery
Uncategorized,Infestation
Uncategorized,Intestinal barrier dysfunction
Musculoskeletal Symptoms,Limb prosthesis user
Uncategorized,Primary hypothyroidism
Laboratory Findings,Blood arsenic increased
Uncategorized,Retroperitoneal disorder
Uncategorized,Biopsy fallopian tube normal
Laboratory Findings,Blood product refusal
Musculoskeletal Symptoms,Metastases to bone marrow
Uncategorized,Keratosis obturans
Dermatologic Symptoms,Benign neoplasm of skin
Uncategorized,Benign soft tissue neoplasm
Uncategorized,Anaesthetic complication
Uncategorized,Corneal endotheliitis
Infectious Symptoms,Mycobacterium chelonae infection
Laboratory Findings,Red blood cell hypochromic morphology present
Laboratory Findings,Blood erythropoietin
Genitourinary Symptoms,Prostate cancer stage IV
Uncategorized,Radical prostatectomy
Procedural and Device-Related Issues,Multiple gated acquisition scan abnormal
Ophthalmologic Symptoms,Eye degenerative disorder
Uncategorized,Administration site cellulitis
Dermatologic Symptoms,Periorbital dermatitis
Uncategorized,Carbon monoxide poisoning
Uncategorized,Post-anoxic myoclonus
Uncategorized,Post procedural bile leak
Uncategorized,Gastrointestinal polyp
Uncategorized,Epididymal calculus
ENT Symptoms,Nasal cavity cancer
Gastrointestinal Symptoms,Procedural vomiting
Uncategorized,Breast sarcoma
Uncategorized,Death neonatal
Uncategorized,Serratia bacteraemia
Psychiatric Symptoms,Stress ulcer
Uncategorized,Cholangiostomy
Infectious Symptoms,Bacterial gingivitis
Respiratory Symptoms,Pneumonia serratia
Infectious Symptoms,Herpes zoster meningomyelitis
Uncategorized,Adnexa uteri cyst
Uncategorized,Metabolic abnormality management
Uncategorized,Cutaneous lymphoma
Uncategorized,Atrioventricular septal defect
Uncategorized,Foetal megacystis
Uncategorized,Coproporphyrinogen increased
Genitourinary Symptoms,Renal artery restenosis
Uncategorized,Iatrogenic injury
Infectious Symptoms,Post procedural sepsis
Uncategorized,Removal of foreign body
Procedural and Device-Related Issues,Genitourinary operation
Uncategorized,Alkalosis hypochloraemic
Uncategorized,Whole-genome sequencing
Respiratory Symptoms,Pulmonary tuberculosis
Genitourinary Symptoms,Urinary sediment abnormal
Uncategorized,Corneal neovascularisation
Uncategorized,Nodular melanoma
Uncategorized,Anoxia
Cardiovascular Findings,Foetal heart rate indeterminate
Cardiovascular Findings,Foetal monitoring abnormal
Uncategorized,Pharyngo-oesophageal diverticulum
Genitourinary Symptoms,Foetal renal imaging abnormal
Laboratory Findings,Factor VIII activity test
Uncategorized,Product measured potency issue
Uncategorized,Pterygium
Respiratory Symptoms,Pulmonary vein occlusion
Infectious Symptoms,Human herpesvirus 8 infection
Laboratory Findings,Lead urine normal
Laboratory Findings,Urine arsenic
Laboratory Findings,Urine mercury normal
Uncategorized,Delivery outside health facility
General Symptoms,Subcutaneous biopsy abnormal
Uncategorized,Foetal anaemia
Uncategorized,Foetal-maternal haemorrhage
Gastrointestinal Symptoms,Procedural nausea
Uncategorized,Acetonaemia
Uncategorized,Excessive masturbation
Uncategorized,Ileal ulcer
Uncategorized,Aspergilloma
Uncategorized,Hyperviscosity syndrome
Uncategorized,Autophobia
Uncategorized,Aberrant aortic arch
Uncategorized,Diffuse large B-cell lymphoma recurrent
Uncategorized,Varicella meningitis
Laboratory Findings,Exocrine pancreatic function test
Uncategorized,Dermoscopy
Laboratory Findings,Polyomavirus test
Respiratory Symptoms,Pneumonia cytomegaloviral
Laboratory Findings,Blood pH abnormal
General Symptoms,PCO2 abnormal
Uncategorized,Angiogram peripheral normal
Uncategorized,Incision site haematoma
Cardiovascular Findings,Nonreassuring foetal heart rate pattern
Uncategorized,Refeeding syndrome
General Symptoms,Biopsy nasopharynx abnormal
Uncategorized,Nasopharyngeal tumour
Gastrointestinal Symptoms,Metastases to stomach
ENT Symptoms,Gastrointestinal mucosal disorder
Uncategorized,Stoma site extravasation
Uncategorized,Anorectal manometry
Uncategorized,Angioimmunoblastic T-cell lymphoma
Uncategorized,Cyclothymic disorder
Uncategorized,Idiopathic environmental intolerance
Uncategorized,Lymphoblast count
Uncategorized,Eosinophilic cystitis
Dermatologic Symptoms,Medical device site erythema
Infectious Symptoms,HIV-associated neurocognitive disorder
Uncategorized,Intrahepatic portal hepatic venous fistula
Laboratory Findings,Pneumocystis test positive
Uncategorized,Caecopexy
Gastrointestinal Symptoms,Post procedural diarrhoea
Genitourinary Symptoms,Ultrasound prostate normal
Uncategorized,Secondary syphilis
Laboratory Findings,Residual urine volume
Uncategorized,Paediatric acute-onset neuropsychiatric syndrome
Uncategorized,Exposure to chemical pollution
Laboratory Findings,Digestive enzyme decreased
Uncategorized,Retinal cyst
Uncategorized,Uterine polypectomy
Laboratory Findings,Impaired fasting glucose
ENT Symptoms,Coronary sinus dilatation
Uncategorized,Endocarditis haemophilus
Uncategorized,Mitral perforation
Uncategorized,Lividity
Respiratory Symptoms,Pulmonary veno-occlusive disease
Genitourinary Symptoms,Malignant urinary tract neoplasm metastatic
Laboratory Findings,Blood ketone body decreased
Procedural and Device-Related Issues,Vaccination site vasculitis
Uncategorized,Pigmentation lip
Uncategorized,Aneurysm thrombosis
Laboratory Findings,Gardnerella test
Respiratory Symptoms,Pulmonary renal syndrome
Musculoskeletal Symptoms,Maxillofacial pain
Cardiovascular Findings,Prosthetic cardiac valve stenosis
Uncategorized,Non-obstructive cardiomyopathy
Uncategorized,Subdural abscess
Uncategorized,Oropharyngeal discolouration
Laboratory Findings,Micrococcus test positive
Uncategorized,Labial tie
Uncategorized,Biopsy tongue
Uncategorized,Cytomegalovirus chorioretinitis
Uncategorized,Alkalosis hypokalaemic
Laboratory Findings,Macrophage inflammatory protein-1 alpha decreased
Procedural and Device-Related Issues,Medical device site warmth
Uncategorized,Neurological procedural complication
Uncategorized,Precursor T-lymphoblastic lymphoma/leukaemia
Uncategorized,Cerebral arteriovenous malformation haemorrhagic
Uncategorized,Mesenteric artery stent insertion
Uncategorized,Congenital hydronephrosis
Uncategorized,Regenerative siderotic hepatic nodule
Uncategorized,CD30 expression
Laboratory Findings,Chemokine test
Uncategorized,Body height increased
Uncategorized,Labour stimulation
Cardiovascular Findings,Electrocardiogram ST-T segment depression
Uncategorized,Lumbar artery embolisation
Uncategorized,Transcranial magnetic stimulation
Uncategorized,Tonsillar neoplasm
Uncategorized,Gastrointestinal ulcer haemorrhage
Uncategorized,Biliary adenoma
Cardiovascular Findings,Maximum heart rate
Uncategorized,Face crushing
Uncategorized,Stent-graft endoleak
Uncategorized,Xanthogranuloma
Uncategorized,Kabuki make-up syndrome
Uncategorized,Ileostomy closure
Uncategorized,Intestinal cyst
Laboratory Findings,Lasegue's test
Uncategorized,Malignant atrophic papulosis
Uncategorized,Peripheral vein thrombosis
Uncategorized,Selective eating disorder
Uncategorized,Insulinoma
Uncategorized,Rubella antibody positive
Respiratory Symptoms,Habit cough
Musculoskeletal Symptoms,Congenital musculoskeletal disorder of spine
Uncategorized,Adenocarcinoma of appendix
Uncategorized,Monkeypox
Allergic and Immune Reactions,Cross sensitivity reaction
Musculoskeletal Symptoms,Joint laxity
Uncategorized,Systolic anterior motion of mitral valve
Infectious Symptoms,Herpes simplex meningitis
Uncategorized,Salivary gland cancer stage III
Genitourinary Symptoms,Biopsy bladder normal
Uncategorized,Carcinogenicity
Uncategorized,Cellulitis streptococcal
Infectious Symptoms,Meningococcal sepsis
Uncategorized,Choledochoenterostomy
Laboratory Findings,Red blood cell acanthocytes present
Uncategorized,Neurotoxicity
Uncategorized,Leiomyoma
Procedural and Device-Related Issues,Scan adrenal gland abnormal
Uncategorized,Amyloidosis senile
Uncategorized,Keratinising squamous cell carcinoma of nasopharynx
General Symptoms,Lipoprotein abnormal
General Symptoms,Oesophagogastroscopy abnormal
Procedural and Device-Related Issues,Discontinued product administered
Neurological Symptoms,Friedreich's ataxia
Uncategorized,Epiglottic mass
Uncategorized,Trisomy 15
Uncategorized,T-cell prolymphocytic leukaemia
Uncategorized,Selective mutism
Uncategorized,Superior semicircular canal dehiscence
Uncategorized,Mucocutaneous ulceration
Uncategorized,Solid organ transplant
Gastrointestinal Symptoms,Post procedural constipation
Uncategorized,Gallstone ileus
Uncategorized,Tracheal compression
General Symptoms,Mediastinal biopsy abnormal
Uncategorized,Perineal ulceration
Uncategorized,Vertebrobasilar artery dissection
Uncategorized,Colorectal cancer stage IV
Uncategorized,Nephrostomy tube removal
Uncategorized,Ex-alcohol user
Gastrointestinal Symptoms,Gastric mucosal hypertrophy
Uncategorized,Nerve root injury lumbar
Uncategorized,Pelvic fluid collection drainage
Uncategorized,Enthesophyte
Uncategorized,Marjolin's ulcer
Psychiatric Symptoms,Product confusion
Uncategorized,Ascending flaccid paralysis
Uncategorized,Exposure keratitis
Uncategorized,IIIrd nerve disorder
Uncategorized,Neurotrophic keratopathy
Uncategorized,Sinuplasty
Allergic and Immune Reactions,Polymerase chain reaction negative
Procedural and Device-Related Issues,Infusion site abscess
Uncategorized,Vascular graft stenosis
Uncategorized,Rectal ulcer
Psychiatric Symptoms,Product appearance confusion
Uncategorized,Metastatic cutaneous Crohn's disease
Uncategorized,Dependent rubor
Uncategorized,Hypotensive crisis
Uncategorized,Purpura senile
Uncategorized,Alcohol rehabilitation
Uncategorized,Procedural shock
ENT Symptoms,Otitis externa fungal
Uncategorized,Instillation site haemorrhage
Genitourinary Symptoms,Bladder obstruction
Uncategorized,Salivary gland induration
Respiratory Symptoms,Pneumonia moraxella
Laboratory Findings,Stenotrophomonas test positive
Uncategorized,Foetal movement disorder
Uncategorized,Necrotising scleritis
Uncategorized,Scleral thinning
Uncategorized,Lung carcinoma cell type unspecified stage 0
Uncategorized,Contrast echocardiogram
Uncategorized,Hypogonadism
Uncategorized,Checkpoint kinase 2 gene mutation
Uncategorized,Endometrial cancer stage III
Uncategorized,Crystal arthropathy
Infectious Symptoms,Gastroenteritis bacterial
Ophthalmologic Symptoms,Eye infection syphilitic
Uncategorized,Optic disc haemorrhage
Infectious Symptoms,Stoma site infection
Uncategorized,Follicular cystitis
Uncategorized,Aqueous humour leakage
ENT Symptoms,Otitis media chronic
Uncategorized,Olfactory dysfunction
Dermatologic Symptoms,Post procedural erythema
Genitourinary Symptoms,Testicular abscess
Uncategorized,Stomal hernia
Infectious Symptoms,Intestinal sepsis
Procedural and Device-Related Issues,Device electrical finding
Laboratory Findings,Spotted fever rickettsia test positive
General Symptoms,Red cell distribution width abnormal
General Symptoms,Abnormal menstrual clots
Uncategorized,Malignant neoplasm of thorax
Uncategorized,Multi-vitamin deficiency
Procedural and Device-Related Issues,Duodenal operation
Uncategorized,Ventilation perfusion mismatch
Uncategorized,Tumour necrosis
Laboratory Findings,Coombs indirect test positive
Uncategorized,Gambling disorder
Uncategorized,Exhibitionism
Cardiovascular Findings,Prosthetic cardiac valve regurgitation
Uncategorized,Brachytherapy
Laboratory Findings,Blood citric acid decreased
General Symptoms,Organic acid analysis abnormal
Uncategorized,Red light therapy
Uncategorized,Vitamin B2 decreased
Uncategorized,Animal attack
General Symptoms,Biopsy pleura abnormal
Infectious Symptoms,Oral herpes zoster
Uncategorized,Biliary cyst
Uncategorized,Adenoid cystic carcinoma
ENT Symptoms,Radiotherapy to ear
Respiratory Symptoms,Neurogenic cough
Dermatologic Symptoms,Administration site urticaria
Uncategorized,Anal atresia
Uncategorized,VACTERL syndrome
Uncategorized,Fallopian tube cancer stage III
Uncategorized,Ovarian cancer stage III
Uncategorized,Acute myeloid leukaemia refractory
Respiratory Symptoms,Pulmonary eosinophilia
Allergic and Immune Reactions,Immunoglobulin G4 related disease
Procedural and Device-Related Issues,Endobronchial ultrasound transbronchial needle aspiration
Respiratory Symptoms,Vascular resistance pulmonary increased
Genitourinary Symptoms,Bladder transitional cell carcinoma stage IV
Infectious Symptoms,Culture tissue specimen positive
Genitourinary Symptoms,Scrotal cyst
Genitourinary Symptoms,Scrotal operation
Genitourinary Symptoms,Prostate cancer recurrent
Laboratory Findings,Lead urine increased
Laboratory Findings,Urine mercury abnormal
ENT Symptoms,Nasal flaring
Respiratory Symptoms,Pulmonary blastomycosis
Uncategorized,Activation syndrome
Uncategorized,Duchenne muscular dystrophy
Uncategorized,Allogenic stem cell transplantation
Uncategorized,Uterine atrophy
Uncategorized,Portal vein phlebitis
Uncategorized,Radiculotomy
Laboratory Findings,Blood gastrin
Uncategorized,Biopsy trachea
Uncategorized,Metastases to soft tissue
Uncategorized,Metastases to the mediastinum
Uncategorized,Fructosamine
Uncategorized,Benign fasciculation syndrome
Uncategorized,Dopamine transporter scintigraphy
Ophthalmologic Symptoms,Ocular sarcoidosis
Uncategorized,CTLA4 deficiency
Uncategorized,Non-Hodgkin's lymphoma stage III
Uncategorized,Rectal cancer stage IV
Psychiatric Symptoms,Product dose confusion
ENT Symptoms,Biopsy ear abnormal
Uncategorized,Death of companion
Uncategorized,Brachiocephalic artery stenosis
Uncategorized,Ranula
Uncategorized,Infantile spasms
Procedural and Device-Related Issues,Aortic root enlargement procedure
Gastrointestinal Symptoms,Gastric electrical stimulation
Uncategorized,Glucocorticoid deficiency
Allergic and Immune Reactions,Administration site recall reaction
Uncategorized,Radiation pneumonitis
Respiratory Symptoms,Vaccine associated enhanced respiratory disease
Uncategorized,Gamma-glutamyltransferase decreased
Infectious Symptoms,Viral tonsillitis
Uncategorized,Fistula of small intestine
Neurological Symptoms,Lumbosacral radiculoplexus neuropathy
Musculoskeletal Symptoms,Hodgkin's disease nodular sclerosis stage III
Uncategorized,Drug screen false positive
Uncategorized,Spondylolysis
Uncategorized,Transillumination
Uncategorized,Pancreatic carcinoma stage IV
Uncategorized,Lung hernia
Uncategorized,Pancreatic cyst drainage
Musculoskeletal Symptoms,Increased liver stiffness
Uncategorized,Colorectal adenocarcinoma
Uncategorized,Human epidermal growth factor receptor negative
Uncategorized,Intestinal stent insertion
Uncategorized,K-ras gene mutation
Uncategorized,Oral hyperaesthesia
Uncategorized,Enophthalmos
Uncategorized,Traumatic shock
Uncategorized,PIK3CA related overgrowth spectrum
Uncategorized,Astrocytoma malignant
Uncategorized,Adrenomegaly
General Symptoms,Benzodiazepine drug level abnormal
Uncategorized,Aortic injury
Uncategorized,Ischaemic demyelination
Uncategorized,CSF valve removal
Uncategorized,Meningitis pneumococcal
Uncategorized,Gastrolithiasis
Laboratory Findings,Blood testosterone abnormal
Uncategorized,Schwannoma
Uncategorized,Tongue polyp
Uncategorized,Haemodilution
Musculoskeletal Symptoms,Bone debridement
Uncategorized,ASIA syndrome
Uncategorized,Angiomyolipoma
Uncategorized,Mononuclear cell percentage
Uncategorized,Exeresis
Uncategorized,Cyclitis
Uncategorized,Salivary duct obstruction
Genitourinary Symptoms,Renal tumour excision
Infectious Symptoms,Relapsing fever
Uncategorized,Bronchial stent insertion
Respiratory Symptoms,Pulmonary angioplasty
Uncategorized,Sensory processing sensitivity
Infectious Symptoms,Enterobacter sepsis
Uncategorized,Lactase deficiency
ENT Symptoms,Musical ear syndrome
Laboratory Findings,Blood growth hormone abnormal
Uncategorized,Refractory cancer
Laboratory Findings,Liver opacity
Laboratory Findings,Insulin resistance test
Uncategorized,Osteochondritis
Uncategorized,Intercepted product selection error
Allergic and Immune Reactions,Medical device site reaction
Uncategorized,Degenerative aortic valve disease
Uncategorized,Transvalvular pressure gradient increased
Laboratory Findings,Red blood cell macrocytes
Genitourinary Symptoms,Genital infection viral
Uncategorized,Pancreatic cystadenoma
Procedural and Device-Related Issues,CSF shunt operation
Dermatologic Symptoms,Radiation skin injury
Uncategorized,Neuroendocrine tumour of the lung
Uncategorized,Vascular stenosis
Uncategorized,Septic arthritis streptococcal
Uncategorized,Post cholecystectomy syndrome
Uncategorized,Arterial flow velocity decreased
Uncategorized,Bronchial atresia
Uncategorized,Mediastinal abscess
Allergic and Immune Reactions,Infusion site reaction
Uncategorized,Adenovirus reactivation
Uncategorized,Lung squamous cell carcinoma stage IV
Laboratory Findings,Intelligence test
Uncategorized,Pilonidal disease
Uncategorized,Mediastinal effusion
Uncategorized,Gastrointestinal angiodysplasia
Uncategorized,Sialometry
General Symptoms,Tri-iodothyronine abnormal
Musculoskeletal Symptoms,Muscle operation
Uncategorized,Virilism
Allergic and Immune Reactions,Monoclonal immunoglobulin
Laboratory Findings,BK polyomavirus test positive
General Symptoms,Transaminases abnormal
Uncategorized,Gingival hypertrophy
Dermatologic Symptoms,Skin hypoplasia
Laboratory Findings,Blood chromogranin A increased
Uncategorized,Metastatic salivary gland cancer
Uncategorized,Anterior spinal artery syndrome
Uncategorized,Superior vena cava occlusion
Uncategorized,Myolipoma
Genitourinary Symptoms,Renal amyloidosis
Uncategorized,Involuntary commitment
Uncategorized,Anal cyst
Uncategorized,Acquired factor IX deficiency
Uncategorized,Acquired factor XI deficiency
Uncategorized,Anti factor IX antibody
Procedural and Device-Related Issues,Postoperative thoracic procedure complication
Uncategorized,Neurotransmitter level altered
Uncategorized,Dyscalculia
Uncategorized,Radiotherapy to pharynx
Uncategorized,Biopsy peritoneum
Uncategorized,Splenic neoplasm malignancy unspecified
General Symptoms,Complement factor abnormal
Genitourinary Symptoms,Genital odour
Uncategorized,HLA-B*5801 assay
Cardiovascular Findings,CT hypotension complex
Cardiovascular Findings,Ventricular asystole
Uncategorized,Peritoneal neoplasm
Uncategorized,Bile duct cancer stage IV
Uncategorized,Infertility tests normal
Uncategorized,Ophthalmic vascular thrombosis
Infectious Symptoms,Hepatitis B DNA assay
Uncategorized,Antral follicle count low
Psychiatric Symptoms,Confusion postoperative
Uncategorized,Intestinal metastasis
Uncategorized,Gamma radiation therapy to lung
Laboratory Findings,Oncotype test
ENT Symptoms,Laryngeal cancer stage IV
Genitourinary Symptoms,Renal vein compression
Uncategorized,Alexithymia
Respiratory Symptoms,Respiratory syncytial virus bronchiolitis
Uncategorized,Lipoedema
Uncategorized,Senile osteoporosis
Uncategorized,Alpha-1 acid glycoprotein increased
Uncategorized,Hepatopulmonary syndrome
Respiratory Symptoms,Pulmonary histoplasmosis
